Name,Symbol,IPO Date,IPO Price,total shares outstanding,trading volume on listing day,(IPO +7) Date,New Avg Price After 1 Week,Exchange,HQ Location,Industry
Kaltura,KLTR,21-07-21,,,,28-07-21,,,,
CS Disco,LAW,21-07-21,,,,28-07-21,,,,
"Twin Vee PowerCats, Co.",VEEE,21-07-21,,,,28-07-21,,,,
TortoiseEcofin Acquisition III,TRTL,20-07-21,,,,27-07-21,,,,
Clover Leaf Capital,CLOE,20-07-21,,,,27-07-21,,,,
HCW Biologics,HCWB,20-07-21,,,,27-07-21,,,,
Chavant Capital Acquisition,CLAY,20-07-21,,,,27-07-21,,,,
Stevanato Group S.p.A.,STVN,16-07-21,,,,23-07-21,,,,
TScan Therapeutics,TCRX,16-07-21,,,,23-07-21,,,,
Bridge Investment Group Holdings,BRDG,16-07-21,,,,23-07-21,,,,
Regencell Bioscience Holdings,RGC,16-07-21,,,,23-07-21,,,,
Bilander Acquisition,TWCB,16-07-21,,,,23-07-21,,,,
Black Spade Acquisition Co.,BSAQ,16-07-21,,,,23-07-21,,,,
Imago BioSciences,IMGO,16-07-21,,,,23-07-21,,,,
Stonebridge Acquisition,APAC,16-07-21,,,,23-07-21,,,,
Erasca,ERAS,16-07-21,,,,23-07-21,,,,
Blue Foundry Bancorp,BLFY,16-07-21,,,,23-07-21,,,,
Blend Labs,BLND,16-07-21,,,,23-07-21,,,,
Phillips Edison &amp; Company,PECO,15-07-21,,,,22-07-21,,,,
F45 Training Holdings,FXLV,15-07-21,,,,22-07-21,,,,
Membership Collective Group,MCG,15-07-21,,,,22-07-21,,,,
Sera Prognostics,SERA,15-07-21,,,,22-07-21,,,,
TradeUP Acquisition,UPTD,15-07-21,,,,22-07-21,,,,
Rapid Micro Biosystems,RPID,15-07-21,,,,22-07-21,,,,
Sight Sciences,SGHT,15-07-21,,,,22-07-21,,,,
CleanTech Acquisition,CLAQ,15-07-21,,,,22-07-21,,,,
Texas Community Bancshares,TCBS,15-07-21,,,,22-07-21,,,,
PB Bankshares,PBBK,15-07-21,,,,22-07-21,,,,
JATT Acquisition,JATT,14-07-21,,,,21-07-21,,,,
Inspira Technologies Oxy B.H.N.,IINN,14-07-21,,,,21-07-21,,,,
